Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
AY.95	Maldives 47.0%, Bulgaria 9.0%, Netherlands 7.0%, Germany 6.0%, United States of America 4.0%	2021-01-07	694	1247	Alias of B.1.617.2.95, Maldives and European lineage	-
AY.98	United Kingdom 91.0%, United States of America 2.0%, Germany 1.0%, Ireland 1.0%, Denmark 1.0%	2021-01-07	1927	41368	Alias of B.1.617.2.98, UK lineage	-
AY.98.1	France 20.0%, Germany 16.0%, United States of America 9.0%, Slovenia 8.0%, Denmark 7.0%	2020-11-04	10431	29574	Alias of B.1.617.2.98.1, European lineage	-
AY.99	South_Africa 32.0%, United Kingdom 16.0%, Nigeria 14.0%, Austria 10.0%, Brazil 9.0%	2021-04-16	298	600	Alias of B.1.617.2.99, South Africa and Nigeria lineage	-
AY.99.1	Brazil 93.0%, United States of America 4.0%, India 1.0%, United Kingdom 1.0%, Colombia 0.0%	2021-03-23	318	1260	Alias of B.1.617.2.99.1, Brazil lineage	-
AY.99.2	Brazil 97.0%, United States of America 1.0%, Argentina 0.0%, Chile 0.0%, France 0.0%	2021-04-13	5209	23627	Alias of B.1.617.2.99.2, Brazil lineage	-
AY.100	United States of America 88.0%, Mexico 4.0%, India 1.0%, Canada 1.0%, Brazil 1.0%	2020-08-31	16627	84698	Alias of B.1.617.2.100, USA lineage	-
AY.101	Brazil 80.0%, Chile 9.0%, Colombia 4.0%, Peru 2.0%, Paraguay 1.0%	2021-02-19	836	4385	Alias of B.1.617.2.101, Brazil and Chile lineage	-
AY.102	Germany 19.0%, India 14.0%, Turkey 8.0%, Peru 7.0%, United States of America 7.0%	2021-01-09	712	17089	Alias of B.1.617.2.102, Peru and Chile lineage, from pango-designation issue #272	-
AY.102.1	Peru 96.0%, Chile 4.0%, India 1.0%	2021-07-08	130	189	Alias of B.1.617.2.102.1, Peru lineage, from pango-designation issue #325	-
AY.102.2	Peru 100.0%	2021-07-12	153	264	Alias of B.1.617.2.102.2, Peru lineage, from pango-designation issue #330	-
AY.103	United States of America 96.0%, Canada 1.0%, India 0.0%, Germany 0.0%, United Kingdom 0.0%	2020-10-06	18104	277921	Alias of B.1.617.2.103, USA lineage	-
AY.103.1	Argentina 55.0%, United States of America 42.0%, United Kingdom 1.0%, Chile 1.0%, Netherlands 0.0%	2021-07-27	141	255	Alias of B.1.617.2.103.1, Argentina lineage	-
AY.103.2	Canada 99.0%, United States of America 1.0%	2021-07-09	534	620	Alias of B.1.617.2.103.2, Canada lineage	-
AY.104	Sri_Lanka 85.0%, United Kingdom 5.0%, Thailand 3.0%, India 1.0%, Qatar 1.0%	2021-06-10	181	588	Alias of B.1.617.2.104, Sri Lanka lineage	-
AY.105	United States of America 87.0%, India 5.0%, Maldives 4.0%, United Kingdom 1.0%, Germany 1.0%	2021-04-11	230	998	Alias of B.1.617.2.105, USA lineage	-
AY.106	India 32.0%, Germany 16.0%, United States of America 9.0%, Jordan 7.0%, Israel 6.0%	2021-02-09	652	3322	Alias of B.1.617.2.106, lineage in Jordan and other countries	-
AY.107	United States of America 83.0%, United Kingdom 3.0%, Jamaica 3.0%, India 3.0%, South_Africa 1.0%	2021-02-05	358	3404	Alias of B.1.617.2.107, USA lineage	-
AY.108	Pakistan 20.0%, United Kingdom 19.0%, Denmark 15.0%, United States of America 14.0%, Norway 8.0%	2021-06-01	159	738	Alias of B.1.617.2.108, lineage in Pakistan and other countries	-
AY.109	France 26.0%, United Kingdom 25.0%, United States of America 20.0%, Nigeria 8.0%, Israel 6.0%	2021-03-16	337	3553	Alias of B.1.617.2.109, lineage in Nigeria and other countries	-
AY.110	United States of America 86.0%, Germany 2.0%, United Kingdom 2.0%, Italy 2.0%, Canada 1.0%	2021-04-14	1016	4601	Alias of B.1.617.2.110, USA lineage	-
AY.111	United Kingdom 74.0%, Denmark 10.0%, Poland 2.0%, Sweden 2.0%, India 2.0%	2021-02-05	2070	8180	Alias of B.1.617.2.111, UK lineage	-
AY.112	India 30.0%, Denmark 19.0%, Germany 8.0%, United States of America 5.0%, United Kingdom 4.0%	2020-12-05	3698	16299	Alias of B.1.617.2.112, lineage in India and other countries, from pango-designation issue #283	-
AY.112.1	Bahrain 71.0%, United Kingdom 7.0%, Israel 4.0%, Australia 4.0%, Germany 4.0%	2021-07-18	58	28	Alias of B.1.617.2.112.1, Bahrain lineage	-
AY.113	United States of America 72.0%, Mexico 8.0%, Costa_Rica 5.0%, Czech_Republic 5.0%, Spain 2.0%	2020-12-16	1758	11740	Alias of B.1.617.2.113, USA and Mexico lineage	-
AY.114	United States of America 92.0%, Germany 4.0%, Canada 0.0%, India 0.0%, Turkey 0.0%	2021-04-10	627	5347	Alias of B.1.617.2.114, USA lineage	-
AY.116	Norway 11.0%, Sweden 9.0%, Kenya 7.0%, United States of America 7.0%, Zambia 7.0%	2021-01-21	996	4034	Alias of B.1.617.2.116, Africa lineage	-
AY.116.1	United States of America 99.0%, Canada 0.0%, Brazil 0.0%, United Kingdom 0.0%, Mexico 0.0%	2021-06-07	473	4277	Alias of B.1.617.2.116.1, USA lineage	-
AY.117	United States of America 91.0%, Germany 3.0%, Turkey 1.0%, Canada 1.0%, United Kingdom 1.0%	2021-01-11	916	15246	Alias of B.1.617.2.117, USA lineage	-
AY.118	United States of America 93.0%, France 1.0%, Germany 1.0%, Puerto_Rico 1.0%, Netherlands 0.0%	2021-02-09	2183	20136	Alias of B.1.617.2.118, USA lineage	-
AY.119	United States of America 95.0%, Germany 1.0%, United Kingdom 1.0%, Canada 0.0%, Dominican_Republic 0.0%	2020-10-29	2356	34449	Alias of B.1.617.2.119, USA lineage	-
AY.119.1	Peru 56.0%, Chile 13.0%, United States of America 11.0%, Brazil 6.0%, Spain 3.0%	2021-09-16	103	617	Alias of B.1.617.2.119.1, Chile and Peru lineage, from pango-designation issue #336	-
AY.119.2	United States of America 89.0%, Canada 8.0%, Dominican_Republic 0.0%, Israel 0.0%, Sweden 0.0%	2021-01-11	2081	11668	Alias of B.1.617.2.119.2, USA lineage, from pango-designation issue #288	-
AY.120	United Kingdom 84.0%, India 3.0%, Germany 2.0%, United States of America 2.0%, France 1.0%	2021-02-04	15515	30156	Alias of B.1.617.2.120, UK lineage	-
AY.120.1	United States of America 99.0%, United Kingdom 0.0%, Canada 0.0%, Denmark 0.0%, Israel 0.0%	2020-12-27	783	3847	Alias of B.1.617.2.120.1, USA lineage	-
AY.120.2	South_Africa 59.0%, United States of America 17.0%, Ethiopia 10.0%, United Kingdom 6.0%, Germany 3.0%	2021-04-26	348	723	Alias of B.1.617.2.120.2, South Africa lineage	-
AY.120.2.1	Denmark 55.0%, Germany 18.0%, Spain 7.0%, Sweden 4.0%, United Kingdom 2.0%	2021-06-06	1616	2193	Alias of B.1.617.2.120.2.1, European lineage	-
AY.121	Turkey 26.0%, Germany 25.0%, Israel 6.0%, United Kingdom 5.0%, United States of America 5.0%	2021-01-24	10907	35470	Alias of B.1.617.2.121, European lineage	-
AY.121.1	Poland 43.0%, Germany 27.0%, Denmark 10.0%, United Kingdom 8.0%, Switzerland 2.0%	2021-01-02	601	3777	Alias of B.1.617.2.121.1, Poland and Germany lineage	-
AY.122	Germany 18.0%, United States of America 13.0%, Denmark 10.0%, France 8.0%, Sweden 5.0%	2020-09-07	68357	199500	Alias of B.1.617.2.122, European lineage	-
AY.122.1	Israel 84.0%, United States of America 5.0%, Iceland 4.0%, Germany 2.0%, France 1.0%	2021-01-11	1686	3412	Alias of B.1.617.2.122.1, Israel lineage, formally AY.12 but renamed as descends from AY.122 which was designated after AY.12, from pango-designation issue #170	-
AY.122.2	Finland 55.0%, Sweden 31.0%, Estonia 10.0%, United Kingdom 1.0%, Lithuania 1.0%	2021-06-22	2766	3364	Alias of B.1.617.2.122.2, Finland and Estonia lineage, from pango-designation issue #273	-
AY.122.3	Denmark 94.0%, Sweden 6.0%, Slovenia 0.0%, Italy 0.0%	2021-08-23	829	1139	Alias of B.1.617.2.122.3, Denmark and Sweden lineage, from pango-designation issue #371	-
AY.122.4	Chile 32.0%, United States of America 29.0%, Peru 13.0%, Argentina 6.0%, Colombia 6.0%	2021-05-19	1709	2293	Alias of B.1.617.2.122.4, South America and USA lineage	-
AY.122.5	-	-	3713	0	Alias of B.1.617.2.122.5, South Korea lineage	-
AY.123	Belgium 29.0%, India 22.0%, France 17.0%, Denmark 9.0%, Germany 7.0%	2021-03-06	332	2105	Alias of B.1.617.2.123, Predominantly Belgium and France lineage	-
AY.123.1	Belgium 63.0%, Denmark 14.0%, France 12.0%, United Kingdom 3.0%, Germany 2.0%	2021-01-12	74	315	Alias of B.1.617.2.123.1, Belgium lineage, from pango-designation issue #354	-
AY.124	Portugal 28.0%, Germany 10.0%, United Kingdom 9.0%, Spain 7.0%, Norway 6.0%	2021-01-09	4458	9386	Alias of B.1.617.2.124, lineage in Portugal and other European countries	-
AY.124.1	Portugal 52.0%, Mauritius 10.0%, France 6.0%, Brazil 6.0%, Denmark 5.0%	2021-06-21	590	1250	Alias of B.1.617.2.124.1, lineage in Portugal and other European countries, from pango-designation issue #345	-
AY.124.1.1	-	-	284	0	Alias of B.1.617.2.124.1.1, lineage in Mauritius and other countries	-
AY.125	Germany 23.0%, France 16.0%, Switzerland 10.0%, Denmark 5.0%, Italy 5.0%	2021-01-08	11622	28883	Alias of B.1.617.2.125, European lineage, from pango-designation issue #328	-
AY.125.1	Australia 91.0%, Guadeloupe 4.0%, France 3.0%, Georgia 1.0%, Switzerland 1.0%	2021-09-07	152	158	Alias of B.1.617.2.125.1, Australia lineage	-
AY.126	Germany 26.0%, Denmark 20.0%, Turkey 13.0%, Sweden 6.0%, Switzerland 5.0%	2020-11-24	16060	40386	Alias of B.1.617.2.126, European lineage, from pango-designation issue #253	-
AY.127	India 20.0%, United Kingdom 13.0%, Germany 12.0%, Denmark 11.0%, Norway 8.0%	2020-12-10	5488	26345	Alias of B.1.617.2.127, lineage in India and other countries, from pango-designation issue #342	-
AY.127.1	Norway 29.0%, Germany 28.0%, Djibouti 12.0%, France 9.0%, Switzerland 6.0%	2021-09-04	111	326	Alias of B.1.617.2.127.1, lineage in Djibouti and other countries, from pango-designation issue #352	-
AY.127.2	-	-	97	0	Alias of B.1.617.2.127.2, Qatar lineage	-
AY.128	Estonia 20.0%, United States of America 15.0%, Georgia 15.0%, United Kingdom 10.0%, Germany 7.0%	2021-05-11	328	887	Alias of B.1.617.2.128, lineage in Estonia, Georgia and other countries, from pango-designation issue #309	-
AY.129	Germany 33.0%, Denmark 18.0%, Switzerland 16.0%, Belgium 4.0%, India 3.0%	2021-01-08	5982	14129	Alias of B.1.617.2.129, European lineage, from pango-designation issue #329	-
AY.130	-	-	60	0	Alias of B.1.617.2.130, Bahrain lineage, from pango-designation issue #351	-
AY.131	Bangladesh 55.0%, Germany 15.0%, India 9.0%, United Kingdom 6.0%, United States of America 3.0%	2021-03-16	55	538	Alias of B.1.617.2.131, mainly reported from Bangladesh, from pango-designation issue #373	-
AY.132	Denmark 86.0%, United States of America 11.0%, Sweden 1.0%, India 1.0%, United Kingdom 0.0%	2021-01-19	305	623	Alias of B.1.617.2.132, Denmark lineage, from pango-designation issue #379	-
AY.133	France 25.0%, Germany 15.0%, United Kingdom 11.0%, Cote_d'Ivoire 11.0%, Japan 7.0%	2021-02-10	71	714	Alias of B.1.617.2.133, France Germany and UK lineage (with some samples from elsewhere, notably Senegal and Ghana), from pango-designation issue #380	-
B.1.617.3	India 89.0%, United Kingdom 4.0%, United States of America 3.0%, Malawi 2.0%, Sweden 1.0%	2021-01-03	23	292	Predominantly India lineage with 484Q, pango-designation issue #49	-
B.1.618	India 75.0%, Canada 19.0%, United States of America 4.0%, Germany 1.0%, Honduras 0.0%	2020-10-25	81	217	India lineage in West Bengal, pango-designation issue #46	-
B.1.619	Germany 26.0%, France 16.0%, Turkey 12.0%, Canada 12.0%, Belgium 11.0%	2020-03-10	882	1070	Lineage in multiple countries, potentially originated in Cameroon and introduced into Europe, pango-designation issue #44	-
B.1.619.1	South_Korea 98.0%, Belgium 1.0%, Germany 0.0%, France 0.0%, Japan 0.0%	2021-02-22	1063	1568	South Korea lineage, from pango-designation issue #160	-
B.1.620	South_Korea 34.0%, Lithuania 16.0%, France 11.0%, Republic_of_the_Congo 6.0%, Germany 5.0%	2020-04-05	36	1170	Lineage in multiple countries, potentially originated in Cameroon and spread within Europe post-introduction, pango-designation issue #54	-
B.1.621	United States of America 41.0%, Colombia 29.0%, Chile 8.0%, Spain 5.0%, Mexico 4.0%	2020-10-14	13	10641	Lineage predominantly in Colombia with several spike mutations, pango-designation issue #57	-
B.1.621.1	United States of America 66.0%, Spain 9.0%, Dominican_Republic 6.0%, Austria 3.0%, Colombia 2.0%	2021-04-09	97	1774	Lineage in multiple countries, pango-designation issue #115	-
B.1.621.2	Colombia 48.0%, Chile 27.0%, United States of America 12.0%, Peru 6.0%, Canada 4.0%	2021-04-08	91	387	Lineage in multiple countries, from pango-designation issue #232	-
B.1.622	Reunion 99.0%, Guinea 1.0%	2020-09-16	62	76	Reunion lineage, pango-designation issue #58	-
B.1.623	United States of America 97.0%, Colombia 0.0%, Puerto_Rico 0.0%, Sweden 0.0%, Netherlands 0.0%	2020-07-08	738	1816	Predominantly USA lineage with mutations of interest, from pango-designation issue #25	-
B.1.625	United States of America 41.0%, Colombia 39.0%, Germany 5.0%, Mexico 3.0%, Spain 2.0%	2020-11-16	91	333	Predominantly Colombia and USA lineage, from pango-designation issue #93	-
B.1.626	United States of America 43.0%, Cabo_Verde 26.0%, Portugal 5.0%, Netherlands 5.0%, Luxembourg 5.0%	2021-02-15	55	248	Europe and USA lineage, from pango-designation issue #118	-
B.1.627	United States of America 71.0%, Mexico 10.0%, El_Salvador 7.0%, Honduras 4.0%, Guatemala 4.0%	2020-06-09	117	472	USA, Mexico and Honduras lineage, from pango-designation issue #130	-
B.1.629	Spain 26.0%, Italy 23.0%, Guinea 15.0%, France 12.0%, Angola 8.0%	2020-07-18	41	66	Lineage circulating in several countries, from pango-designation issue #132	-
B.1.630	United States of America 82.0%, Dominican_Republic 5.0%, Turkey 3.0%, Spain 2.0%, Puerto_Rico 1.0%	2021-01-19	28	601	Lineage in several countries, from pango-designation issue #137	-
B.1.631	United States of America 78.0%, Mexico 12.0%, El_Salvador 8.0%, Belize 2.0%, Brazil 0.0%	2020-12-16	87	305	USA and Mexico lineage, from pango-designation issue #146	-
B.1.632	Mexico 60.0%, United States of America 32.0%, Germany 7.0%, South_Africa 1.0%	2021-04-19	37	135	Predominantly Mexico lineage, from pango-designation issue #156	-
B.1.633	India 87.0%, United States of America 7.0%, United Kingdom 7.0%	2021-03-17	9	15	India lineage, from pango-designation issue #155	-
B.1.634	United States of America 64.0%, Mexico 35.0%, Cayman_Islands 0.0%, Guatemala 0.0%	2021-01-06	71	276	Mexico and USA lineage, from pango-designation issue #159	-
B.1.635	Mexico 59.0%, United States of America 25.0%, Kenya 6.0%, Turkey 3.0%, Germany 2.0%	2020-07-25	51	64	Mexico and USA lineage, from pango-designation issue #159	-
B.1.636	United States of America 81.0%, Mexico 4.0%, Honduras 4.0%, Spain 2.0%, Germany 2.0%	2020-12-16	101	160	USA, Mexico and Honduras lineage, from pango-designation issue #173	-
B.1.637	United States of America 98.0%, Puerto_Rico 1.0%, Dominican_Republic 0.0%, United Kingdom 0.0%, Suriname 0.0%	2020-04-16	36	12436	Added as B.1.526.1 15 Mar 2021, but turned out not to be a descendant of B.1.526; was folded into B.1.526 from 14 Jun - 18 Aug 2021; now a separate lineage to leave B.1.526 more congruent with Iota (Nextstrain 21F / original B.1.526); pango-designation issue #154	-
B.1.637.1	United States of America 88.0%, United Kingdom 8.0%, Germany 4.0%	2021-09-21	17	74	USA lineage, from pango-designation issue #353	-
B.1.638	South_Africa 92.0%, Mexico 8.0%	2021-05-24	11	13	South Africa lineage, from pango-designation issue #205	-
B.1.639	United States of America 32.0%, Germany 32.0%, Turkey 14.0%, South_Africa 5.0%, Dominican_Republic 3.0%	2021-01-19	39	165	Lineage sequenced in USA, potentially associated with Puerto Rico, from pango-designation issue #161	-
B.1.640	-	-	0	0	Lineage in Africa and Europe, from pango-designation issue #297	-
B.1.640.1	France 73.0%, Republic_of_the_Congo 6.0%, Germany 5.0%, Democratic Republic of the Congo 3.0%, Italy 3.0%	2021-01-01	88	589	Lineage in Africa and Europe, from pango-designation issue #362	-
B.1.640.2	France 69.0%, United Kingdom 9.0%, United States of America 6.0%, India 3.0%, Luxembourg 3.0%	2021-10-15	9	32	Lineage from pango-designation issue #362	-
B.1.9	Turkey 33.0%, Netherlands 21.0%, Belgium 16.0%, Germany 10.0%, United Kingdom 6.0%	2020-03-04	120	155	European wide lineage with active sublineages	-
B.1.9.1	United Kingdom 100.0%	2020-03-31	28	31	Scottish Lineage	-
B.1.9.2	United States of America 100.0%	2020-04-20	10	10	USA	-
B.1.9.3	Belgium 100.0%	2020-03-17	25	26	Belgium	-
B.1.9.4	Germany 87.0%, Switzerland 4.0%, Denmark 3.0%, United Kingdom 3.0%, Norway 2.0%	2020-07-09	24	159	European wide lineage with active cases with activity in Switzerland	-
B.1.9.5	Turkey 27.0%, Germany 11.0%, Switzerland 9.0%, United Kingdom 9.0%, Denmark 7.0%	2020-03-14	110	158	European sublinage highly represented in Turkey	-
B.3	United Kingdom 47.0%, Germany 18.0%, Australia 4.0%, Belgium 4.0%, Iceland 3.0%	2020-02-23	904	1102	A European lineage - Germany & UK predominantly	-
B.3.1	United Kingdom 98.0%, Vietnam 1.0%, Canada 1.0%, United States of America 1.0%, Germany 0.0%	2020-01-21	491	573	Welsh lineage	-
B.4	Iran 15.0%, United Kingdom 13.0%, Australia 10.0%, India 8.0%, Turkey 7.0%	2020-01-18	302	393	Iranian lineage and global exports	-
B.4.1	Kazakhstan 100.0%	2020-03-22	27	27	Lineage from Kazakhstan within the B.4 diversity	-
B.4.2	Bahrain 93.0%, United_Arab_Emirates 7.0%	2020-02-25	15	15	Bahrein lineage	-
B.4.4	United States of America 66.0%, Australia 26.0%, Canada 8.0%	2020-03-10	48	53	USA lineage	-
B.4.5	Australia 100.0%	2020-03-09	78	79	Australian lineage	-
B.4.6	Australia 97.0%, Germany 1.0%, United_Arab_Emirates 1.0%	2020-02-25	46	72	Australian lineage	-
B.4.7	United_Arab_Emirates 44.0%, India 21.0%, United States of America 12.0%, Australia 7.0%, Kenya 4.0%	2020-03-14	68	68	Africa and UAE	-
B.4.8	Iran 38.0%, United Kingdom 38.0%, Canada 12.0%, Australia 6.0%, Denmark 6.0%	2020-05-17	9	16	Cryptic lineage in Iran? Occasional international appearances, most recently Nov 2020	-
B.5	Japan 81.0%, Australia 7.0%, United States of America 7.0%, Russia 4.0%	2020-02-05	23	27	Japanese lineage	-
B.6	India 47.0%, Australia 8.0%, Philippines 8.0%, United States of America 6.0%, Malaysia 5.0%	2020-02-14	769	950	Indian lineage	-
B.6.1	Malaysia 89.0%, India 5.0%, Brunei 5.0%	2020-03-11	35	38	Malaysian lineage	-
B.6.2	Malaysia 100.0%	2020-05-23	14	16	Malaysian lineage	-
B.6.3	Singapore 92.0%, Canada 3.0%, India 3.0%, United States of America 3.0%	2020-03-10	37	37	Singapore lineage	-
B.6.4	Singapore 100.0%	2020-04-18	22	22	Singapore lineage	-
B.6.5	Australia 100.0%	2020-03-19	10	12	Australian lineage	-
B.6.6	Singapore 85.0%, India 13.0%, Malaysia 1.0%, Australia 1.0%, Fiji 0.0%	2020-03-10	987	1012	Singapore lineage	-
B.6.8	Papua_New_Guinea 95.0%, Australia 4.0%, New_Zealand 1.0%	2020-07-13	17	150	Papua New Guinea	-
B.10	United Kingdom 97.0%, Canary_Islands 1.0%, Ireland 1.0%, Switzerland 1.0%	2020-03-12	105	119	Northern Irish lineage	-
B.11	Netherlands 60.0%, Belgium 8.0%, United States of America 5.0%, Spain 5.0%, Germany 4.0%	2020-02-27	155	166	European lineage with sequences from the Netherlands, UK, Austria, Slovakia	-
B.12	Japan 98.0%, Malaysia 1.0%, United States of America 1.0%	2020-01-20	63	134	Japanese lineage	-
B.13	United States of America 100.0%	2020-04-03	21	21	USA lineage	-
B.15	United Kingdom 98.0%, Ireland 2.0%	2020-03-11	40	47	UK lineage	-
B.18	United Kingdom 86.0%, Iceland 14.0%	2020-03-16	18	21	European lineage (Iceland and England)	-
B.19	United States of America 96.0%, Spain 4.0%	2020-03-29	26	28	USA lineage	-
B.20	United States of America 100.0%	2020-03-31	43	43	USA lineage	-
B.23	United Kingdom 83.0%, Iceland 6.0%, United States of America 3.0%, Portugal 3.0%, Germany 2.0%	2020-02-28	256	318	Lineage with representation from mainly UK sequences, but also sequences from Portugal, Iceland and Brazil	-
B.26	United Kingdom 91.0%, Australia 4.0%, United States of America 3.0%, Iceland 1.0%	2020-03-17	51	68	Scottish lineage	-
B.27	United Kingdom 87.0%, Curaçao 8.0%, United States of America 3.0%, Switzerland 2.0%	2020-03-03	52	60	UK lineage, Curacao, Switzerland	-
B.28	United Kingdom 74.0%, Australia 7.0%, United States of America 5.0%, Germany 2.0%, Jordan 2.0%	2020-03-06	236	295	UK lineage	-
B.29	United Kingdom 68.0%, Australia 19.0%, Spain 3.0%, Ireland 2.0%, New_Zealand 2.0%	2020-02-27	225	259	Spanish/UK/ Australian lineage	-
B.30	United States of America 97.0%, Canada 3.0%	2020-03-09	50	69	Reassigned from B.2.12, USA lineage	-
B.31	United Kingdom 56.0%, New_Zealand 19.0%, Australia 12.0%, Chile 1.0%, United States of America 1.0%	2020-03-03	212	250	Reassigned from B.2.5, UK/ Australia/ New Zealand lineage	-
B.32	United Kingdom 94.0%, France 3.0%, Canada 3.0%	2020-03-13	28	36	Scottish lineage	-
B.33	United Kingdom 94.0%, United States of America 6.0%	2020-01-29	38	50	UK lineage	-
B.34	United Kingdom 97.0%, Canada 1.0%, United States of America 1.0%	2020-03-13	56	70	Scottish lineage	-
B.35	United Kingdom 62.0%, Iceland 12.0%, Australia 8.0%, United States of America 4.0%, Singapore 3.0%	2020-03-05	87	117	Previously B.2.6, USA lineage	-
B.36	Israel 75.0%, Qatar 17.0%, Taiwan 8.0%	2020-03-13	10	12	Previously B.2.11, Israel lineage	-
B.37	United States of America 90.0%, Australia 7.0%, United Kingdom 3.0%	2020-03-12	28	30	USA lineage	-
B.38	Belgium 88.0%, Democratic Republic of the Congo 2.0%, Netherlands 2.0%, Portugal 2.0%, Japan 2.0%	2020-03-07	33	41	Belgium lineage	-
B.39	United Kingdom 77.0%, Australia 4.0%, United States of America 4.0%, Brazil 3.0%, Canada 2.0%	2020-02-25	303	384	Previously B.2.2, USA/ UK/ Australian lineage	-
B.40	United Kingdom 77.0%, United States of America 5.0%, Ireland 4.0%, Australia 3.0%, Canada 2.0%	2020-02-09	2064	2567	Previously B.2.1. Large lineage majoritively from UK and Australia with representation from Europe, Jordan, USA, India, Ghana, South Korea	-
B.41	South_Korea 97.0%, United States of America 2.0%, United Kingdom 2.0%	2020-02-06	118	125	Previously B.2.10, South Korean lineage	-
B.42	Hong_Kong 96.0%, Japan 4.0%	2020-01-29	12	26	Hong Kong lineage	-
B.43	Hong_Kong 99.0%, Canada 1.0%	2020-01-26	39	71	Hong Kong lineage	-
B.44	Portugal 100.0%	2020-03-17	10	10	Portugal lineage	-
B.45	United Kingdom 100.0%	2020-03-13	187	250	Scottish lineage	-
B.46	United States of America 100.0%	2020-03-18	45	47	USA lineage	-
B.47	Iceland 52.0%, United Kingdom 48.0%	2020-03-06	17	46	English lineage	-
B.49	Denmark 100.0%	2020-03-09	19	20	Danish lineage	-
B.50	Indonesia 64.0%, United States of America 18.0%, Germany 9.0%, Japan 9.0%	2020-03-14	8	11	Indonesian lineage	-
B.51	United States of America 100.0%	2020-03-18	21	21	USA lineage	-
B.52	United Kingdom 79.0%, Australia 9.0%, Norway 5.0%, Hong_Kong 4.0%, South_Africa 1.0%	2020-03-12	78	94	UK lineage	-
B.53	Lithuania 73.0%, United_Arab_Emirates 24.0%, India 1.0%, Belgium 1.0%, Australia 1.0%	2020-02-07	83	84	Lithuanian lineage	-
B.55	Netherlands 43.0%, United Kingdom 36.0%, United States of America 5.0%, Germany 3.0%, New_Zealand 2.0%	2020-01-29	194	233	Redesignated from B.11 (split), UK/Danish	-
B.56	Indonesia 71.0%, Singapore 23.0%, Malaysia 3.0%, United_Arab_Emirates 3.0%	2020-03-14	34	35	Singapore/Malaysia/Indonesia	-
B.57	United Kingdom 97.0%, China 2.0%, United States of America 2.0%	2020-03-02	52	60	Largely Scottish	-
B.58	United Kingdom 54.0%, Canada 20.0%, Iceland 8.0%, Australia 7.0%, United States of America 6.0%	2020-03-04	70	89	Largely English, UK/Canada/Australia	-
B.60	United Kingdom 100.0%	2020-03-04	74	63	England	-
B.61	United Kingdom 70.0%, Australia 22.0%, Ireland 2.0%, Iceland 1.0%, Canada 1.0%	2020-02-09	123	166	Redesignated from B.40 (split), UK	-
XA	United Kingdom 86.0%, United States of America 4.0%, Spain 4.0%, India 4.0%, Switzerland 2.0%	2020-12-16	43	51	Recombinant lineage with parental lineages B.1.1.7 and B.1.177, UK lineage	-
XB	United States of America 77.0%, Mexico 16.0%, Guatemala 3.0%, Honduras 2.0%, El_Salvador 1.0%	2020-07-08	729	3145	Reombinant lineage with parental lineage B.1.634 and B.1.631, Central and North America lineage, discussed in pango-designation issue #189. Formally B.1.628	-
XC	Japan 100.0%	2021-08-12	17	24	Reombinant lineage with parental lineage AY.29 and B.1.1.7, Japan lineage, from pango-designation issue #263	-
A.2.1	-	-	0	0	Lineage reassigned. Withdrawn: Lineage with sequences predominantly from Panama	-
A.8	-	-	0	0	Lineage reassigned. Withdrawn: Indian lineage merged with A.9	-
A.10	-	-	0	0	Lineage reassigned. Withdrawn: Spanish lineage reassigned to A.5	-
A.13	-	-	0	0	Lineage reassigned. Withdrawn: Cote d'Ivoire lineage	-
A.14	-	-	0	0	Lineage reassigned. Withdrawn: Cote d'Ivoire lineage	-
A.20	-	-	0	0	Lineage reassigned. Withdrawn: UAE lineage	-
B.1.1.2	-	-	0	0	Lineage reassigned. Withdrawn: UK and Australia	-
B.1.1.6	-	-	0	0	Lineage reassigned. Withdrawn: USA (TX)	-
B.1.1.20	-	-	0	0	Lineage reassigned. Withdrawn: UK lineage	-
B.1.1.32	-	-	0	0	Lineage reassigned. Withdrawn: Indian lineage	-
B.1.1.35	-	-	0	0	Lineage reassigned. Withdrawn: UK lineage	-
B.1.1.36	-	-	0	0	Lineage reassigned. Withdrawn: USA	-
B.1.1.60	-	-	0	0	Lineage reassigned. Withdrawn: Northern Ireland lineage	-
B.1.1.64	-	-	0	0	Lineage reassigned. Withdrawn: UK lineage	-
B.1.1.65	-	-	0	0	Lineage reassigned. Withdrawn: USA lineage	-
B.1.1.66	-	-	0	0	Lineage reassigned. Withdrawn: South African lineage	-
B.1.1.73	-	-	0	0	Lineage reassigned. Withdrawn: Reassigned lineage	-
B.1.1.76	-	-	0	0	Lineage reassigned. Withdrawn: USA lineage	-
B.1.1.78	-	-	0	0	Lineage reassigned. Withdrawn: Russian lineage	-
B.1.1.79	-	-	0	0	Lineage reassigned. Withdrawn: Russian lineage	-
B.1.1.80	-	-	0	0	Lineage reassigned. Withdrawn: Bangladesh lineage	-
B.1.1.81	-	-	0	0	Lineage reassigned. Withdrawn: Northern Ireland lineage	-
B.1.1.85	-	-	0	0	Lineage reassigned. Withdrawn: USA lineage	-
B.1.1.94	-	-	0	0	Lineage reassigned. Withdrawn: Brazil lineage	-
B.1.1.96	-	-	0	0	Lineage reassigned. Withdrawn: Saudi Arabia/ Russia lineage	-
B.1.1.102	-	-	0	0	Lineage reassigned. Withdrawn: Latvian lineage	-
